Cluster 3 - Alle Spieler:

 AGE  OFF_RATING_Advanced  DEF_RATING_Advanced  NET_RATING_Advanced  E_TOV_PCT_Advanced  EFG_PCT_Advanced  USG_PCT_Advanced  PACE_Advanced  PIE_Advanced  POSS_Advanced  USG_PCT_Usage  PCT_FGM_Usage  PCT_FG3M_Usage  PCT_FTM_Usage  PCT_OREB_Usage  PCT_DREB_Usage  PCT_AST_Usage  PCT_TOV_Usage  PCT_STL_Usage  PCT_BLK_Usage  PCT_PF_Usage  PCT_PFD_Usage  PCT_PTS_2PT_Scoring  PCT_PTS_2PT_MR_Scoring  PCT_PTS_3PT_Scoring  PCT_PTS_FB_Scoring  PCT_PTS_FT_Scoring  OPP_PTS_OFF_TOV_Defense  OPP_PTS_2ND_CHANCE_Defense  OPP_PTS_FB_Defense  OPP_PTS_PAINT_Defense  DEF_WS_Defense  DEF_WS_RAW_Defense
21.0                103.0                108.7                 -5.7                10.2             0.479             0.181          99.92         0.045           1458          0.181          0.185           0.291          0.063           0.117           0.114          0.134          0.155          0.108          0.113         0.216          0.066                0.322                   0.090                0.618               0.142               0.060                      265                         175                 208                    686            2.93            2.926542
29.0                110.5                112.6                 -2.1                 9.2             0.569             0.148         103.58         0.097           1078          0.148          0.183           0.077          0.165           0.354           0.223          0.149          0.128          0.140          0.185         0.243          0.205                0.700                   0.080                0.165               0.075               0.135                      173                         152                 154                    546            1.52            1.523948
31.0                104.0                109.5                 -5.5                11.6             0.481             0.342          99.95         0.169           1200          0.342          0.320           0.181          0.603           0.353           0.307          0.293          0.354          0.109          0.333         0.204          0.483                0.518                   0.142                0.153               0.027               0.329                      193                         146                 195                    524            2.22            2.216333
29.0                113.2                107.8                  5.4                10.5             0.577             0.077         105.46         0.094           1223          0.077          0.085           0.136          0.028           0.219           0.282          0.135          0.080          0.250          0.212         0.141          0.069                0.321                   0.000                0.616               0.321               0.063                      252                         165                 185                    568            2.44            2.437307
26.0                111.2                112.4                 -1.2                12.0             0.528             0.134          99.53         0.080           1126          0.134          0.140           0.168          0.046           0.260           0.220          0.153          0.149          0.263          0.229         0.201          0.057                0.460                   0.062                0.484               0.031               0.056                      212                         169                 233                    520            1.63            1.632785
25.0                103.8                109.8                 -6.0                12.4             0.463             0.175         100.15         0.070            872          0.175          0.174           0.077          0.207           0.225           0.125          0.189          0.178          0.185          0.122         0.168          0.197                0.658                   0.013                0.158               0.184               0.184                      152                         111                 135                    452            1.60            1.604911
26.0                108.8                109.3                 -0.5                 9.9             0.519             0.185          98.69         0.100           1282          0.185          0.189           0.211          0.255           0.257           0.165          0.105          0.170          0.421          0.250         0.200          0.262                0.438                   0.014                0.339               0.127               0.223                      230                         188                 178                    626            2.42            2.422975
24.0                109.3                117.4                 -8.1                 8.2             0.590             0.112         100.63         0.061           1917          0.112          0.146           0.065          0.109           0.153           0.165          0.104          0.086          0.115          0.301         0.268          0.100                0.701                   0.007                0.164               0.266               0.135                      388                         317                 345                    986            1.39            1.386344
22.0                101.0                116.4                -15.4                11.4             0.400             0.188          99.10         0.060           1734          0.188          0.163           0.171          0.145           0.184           0.122          0.287          0.198          0.264          0.086         0.186          0.233                0.504                   0.057                0.351               0.124               0.145                      377                         264                 294                    866            1.55            1.551038
24.0                107.0                109.2                 -2.3                10.8             0.803             0.128          99.77         0.131            974          0.128          0.219           0.010          0.155           0.440           0.255          0.105          0.126          0.179          0.605         0.296          0.169                0.869                   0.030                0.015               0.157               0.116                      156                         149                 154                    498            1.80            1.803699
24.0                109.4                114.1                 -4.7                12.5             0.619             0.155         101.91         0.096           1674          0.155          0.197           0.098          0.139           0.344           0.272          0.104          0.160          0.163          0.432         0.320          0.147                0.702                   0.018                0.194               0.083               0.104                      323                         284                 249                    766            2.01            2.013201
26.0                106.2                108.4                 -2.2                11.8             0.485             0.164         102.77         0.074           1075          0.164          0.152           0.186          0.077           0.061           0.120          0.278          0.196          0.295          0.184         0.211          0.074                0.452                   0.048                0.482               0.083               0.066                      200                         153                 138                    456            2.04            2.043305
34.0                110.7                113.4                 -2.7                14.6             0.562             0.185         100.28         0.098           1858          0.185          0.173           0.159          0.275           0.278           0.241          0.247          0.259          0.206          0.247         0.333          0.278                0.526                   0.042                0.258               0.089               0.216                      342                         304                 313                    886            2.42            2.418466
